Part;Value;Device;Package;Description;ALLIED_NUMBER;ALLIED_PRICE-STOCK;AVAILABILITY;CREATED_BY;DESCRIPTION;DIGIKEY_PART_NUMBER;HEIGHT;MANUFACTURER;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MF;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;POPULARITY;PRICE;PROD_ID;RS_PART_NUMBER;RS_PRICE-STOCK;SPICEPREFIX;TP_SIGNAL_NAME;VALUE
CT6;SJ-3523-SMT;STEREO_SMD;STEREO_SMT;3.5mm Stereo Jack SMT;;;;;;;;;;;;;;;SJ-3523-SMT;;;;;;;;;;;
CT7;SJ-3523-SMT;STEREO_SMD;STEREO_SMT;3.5mm Stereo Jack SMT;;;;;;;;;;;;;;;SJ-3523-SMT;;;;;;;;;;;
CT8;SJ-3523-SMT;STEREO_SMD;STEREO_SMT;3.5mm Stereo Jack SMT;;;;;;;;;;;;;;;SJ-3523-SMT;;;;;;;;;;;
CT9;SJ-3523-SMT;STEREO_SMD;STEREO_SMT;3.5mm Stereo Jack SMT;;;;;;;;;;;;;;;SJ-3523-SMT;;;;;;;;;;;
CV1;10nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
CV2;10nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
CV3;10nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
D1;ESD5Z3.3T1G;DIODESOD-523;SOD-523;Diode;;;;;;;;;;;;;;;;;;;;;;;;;;
D2;ESD5Z3.3T1G;DIODESOD-523;SOD-523;Diode;;;;;;;;;;;;;;;;;;;;;;;;;;
D3;ESD5Z3.3T1G;DIODESOD-523;SOD-523;Diode;;;;;;;;;;;;;;;;;;;;;;;;;;
D4;ESD5Z3.3T1G;DIODESOD-523;SOD-523;Diode;;;;;;;;;;;;;;;;;;;;;;;;;;
