--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
V7:249.75,I7:1.407,AP7:351.3,RP7:-11.9,PF7:-0.033980,Joules7:-539.775,Clip7:0,cycles7:130,samples7:8453,
V8:249.73,I8:1.406,AP8:351.2,RP8:-13.7,PF8:-0.039032,Joules8:-451.157,Clip8:0,cycles8:130,samples8:8454,
V9:249.73,I9:1.377,AP9:343.9,RP9:-8.3,PF9:-0.024240,Joules9:-329.964,Clip9:0,cycles9:130,samples9:8454,
Hz_estimate:50.1,millis:47649,PC:0,buffOverrun:0

V1:249.65,I1:1.556,AP1:388.4,RP1:-17.9,PF1:-0.046102,Joules1:-946.351,Clip1:0,cycles1:123,samples1:7999,
V2:249.64,I2:1.486,AP2:371.1,RP2:-16.9,PF2:-0.045558,Joules2:-878.028,Clip2:0,cycles2:123,samples2:7999,
V3:249.65,I3:1.429,AP3:356.8,RP3:-17.0,PF3:-0.047648,Joules3:-786.590,Clip3:0,cycles3:123,samples3:7999,
V4:249.64,I4:1.518,AP4:378.9,RP4:-11.9,PF4:-0.031530,Joules4:-754.766,Clip4:0,cycles4:123,samples4:7999,
V5:249.65,I5:1.464,AP5:365.5,RP5:-14.3,PF5:-0.038991,Joules5:-735.241,Clip5:0,cycles5:123,samples5:7999,
V6:249.65,I6:1.484,AP6:370.6,RP6:-10.3,PF6:-0.027885,Joules6:-417.482,Clip6:0,cycles6:123,samples6:7999,
V7:249.65,I7:1.389,AP7:346.8,RP7:-14.2,PF7:-0.040869,Joules7:-575.206,Clip7:0,cycles7:123,samples7:7999,
V8:249.64,I8:1.426,AP8:356.1,RP8:-10.5,PF8:-0.029563,Joules8:-477.475,Clip8:0,cycles8:123,samples8:7999,
V9:249.66,I9:1.364,AP9:340.5,RP9:-5.3,PF9:-0.015608,Joules9:-343.250,Clip9:0,cycles9:123,samples9:7998,
Hz_estimate:50.1,millis:50105,PC:0,buffOverrun:0

V1:249.72,I1:1.517,AP1:378.9,RP1:-17.8,PF1:-0.046984,Joules1:-990.854,Clip1:0,cycles1:123,samples1:8000,
V2:249.72,I2:1.471,AP2:367.3,RP2:-23.0,PF2:-0.062544,Joules2:-935.459,Clip2:0,cycles2:123,samples2:8000,
V3:249.72,I3:1.435,AP3:358.3,RP3:-17.9,PF3:-0.049838,Joules3:-831.228,Clip3:0,cycles3:123,samples3:8000,
V4:249.73,I4:1.497,AP4:373.9,RP4:-20.0,PF4:-0.053400,Joules4:-804.677,Clip4:0,cycles4:123,samples4:7999,
V5:249.74,I5:1.450,AP5:362.1,RP5:-14.0,PF5:-0.038742,Joules5:-770.312,Clip5:0,cycles5:123,samples5:7999,
V6:249.73,I6:1.504,AP6:375.6,RP6:-13.0,PF6:-0.034604,Joules6:-449.978,Clip6:0,cycles6:123,samples6:7999,
V7:249.74,I7:1.391,AP7:347.3,RP7:-14.1,PF7:-0.040615,Joules7:-610.474,Clip7:0,cycles7:123,samples7:7999,
V8:249.73,I8:1.429,AP8:357.0,RP8:-13.6,PF8:-0.038064,Joules8:-511.446,Clip8:0,cycles8:123,samples8:7999,
V9:249.72,I9:1.378,AP9:344.2,RP9:-8.8,PF9:-0.025428,Joules9:-365.132,Clip9:0,cycles9:123,samples9:8000,
Hz_estimate:50.1,millis:52561,PC:0,buffOverrun:0

